ENSEMBL_gene_id,HUGO_gene_id,chr,MASH beta,MASH sd,MASH LFSR,tissue
ENSG00000005889.15,ZFX,chrX,0.518355444,0.017916212,1.8971E-180,ADPSBQ
ENSG00000169895.5,SYAP1,chrX,0.381511396,0.013697403,3.8798E-169,ADPSBQ
ENSG00000215301.9,DDX3X,chrX,0.370283046,0.01404129,4.473E-150,ADPSBQ
ENSG00000056998.19,GYG2,chrX,0.866952333,0.041772292,1.12317E-95,ADPSBQ
ENSG00000130021.13,PUDP,chrX,0.471384222,0.022711371,3.06816E-95,ADPSBQ
ENSG00000072501.17,SMC1A,chrX,0.25634021,0.012528778,8.39635E-89,ADPSBQ
ENSG00000169249.12,ZRSR2,chrX,0.37406308,0.019357481,3.17777E-79,ADPSBQ
ENSG00000006757.11,PNPLA4,chrX,0.411681565,0.022942836,4.31658E-71,ADPSBQ
ENSG00000086712.12,TXLNG,chrX,0.383937975,0.021286576,1.71697E-70,ADPSBQ
ENSG00000006756.15,ARSD,chrX,0.427453663,0.024243429,1.53688E-69,ADPSBQ
ENSG00000225470.7,JPX,chrX,0.490124525,0.02829958,2.07533E-65,ADPSBQ
ENSG00000130741.10,EIF2S3,chrX,0.268986961,0.015503327,4.38055E-65,ADPSBQ
ENSG00000101846.6,STS,chrX,0.434753293,0.027975857,2.06835E-54,ADPSBQ
ENSG00000124343.12,XG,chrX,0.559472633,0.037477303,4.84736E-50,ADPSBQ
ENSG00000186312.10,CA5BP1,chrX,0.37697286,0.026017919,1.56846E-45,ADPSBQ
ENSG00000183943.5,PRKX,chrX,0.281658574,0.020438298,1.83529E-43,ADPSBQ
ENSG00000130985.16,UBA1,chrX,0.153635348,0.011580089,1.30773E-39,ADPSBQ
ENSG00000184368.15,MAP7D2,chrX,0.757888423,0.059285766,1.15358E-37,ADPSBQ
ENSG00000103449.11,SALL1,chr16,1.085201361,0.096319456,4.73355E-27,ADPSBQ
ENSG00000147113.16,DIPK2B,chrX,0.231337743,0.021087748,2.73121E-26,ADPSBQ
ENSG00000046647.13,GEMIN8,chrX,0.173847698,0.018606106,9.39049E-21,ADPSBQ
ENSG00000224975.1,INE1,chrX,0.220941198,0.024848095,1.20062E-17,ADPSBQ
ENSG00000228906.1,,chrX,0.628911768,0.06906479,2.17012E-17,ADPSBQ
ENSG00000188419.13,CHM,chrX,0.111178595,0.013063818,2.69773E-17,ADPSBQ
ENSG00000186871.6,ERCC6L,chrX,0.559433169,0.067063482,3.1622E-17,ADPSBQ
ENSG00000165566.12,AMER2,chr13,-3.720661844,0.257654215,1.11022E-16,ADPSBQ
ENSG00000149968.11,MMP3,chr11,-3.424278557,0.2395504,1.11022E-16,ADPSBQ
ENSG00000115041.12,KCNIP3,chr2,-0.525009669,0.040119922,1.11022E-16,ADPSBQ
ENSG00000161896.11,IP6K3,chr6,-1.470658814,0.137209747,1.11022E-16,ADPSBQ
ENSG00000179542.15,SLITRK4,chrX,-0.607713975,0.053144409,1.11022E-16,ADPSBQ
ENSG00000167377.17,ZNF23,chr16,-0.308166378,0.032793025,1.11022E-16,ADPSBQ
ENSG00000149531.15,FRG1BP,chr20,-0.428486302,0.042625684,1.11022E-16,ADPSBQ
ENSG00000282826.1,FRG1CP,chr20,-0.384271812,0.039177945,1.11022E-16,ADPSBQ
ENSG00000198759.11,EGFL6,chrX,1.095767162,0.144378901,1.56878E-16,ADPSBQ
ENSG00000185291.11,IL3RA,chrX,-0.399714388,0.030195487,2.22045E-16,ADPSBQ
ENSG00000182230.11,FAM153B,chr5,-1.260788669,0.138188009,2.22045E-16,ADPSBQ
ENSG00000249307.5,LINC01088,chr4,-0.750331417,0.07019885,2.22045E-16,ADPSBQ
ENSG00000157429.15,ZNF19,chr16,-0.304439465,0.049876007,2.22045E-16,ADPSBQ
ENSG00000203907.9,OOEP,chr6,-1.117791871,0.138645733,2.22045E-16,ADPSBQ
ENSG00000237531.6,,chrX,1.3436361,0.16212341,4.30995E-16,ADPSBQ
ENSG00000153930.11,ANKFN1,chr17,-0.635466893,0.091464481,4.44089E-16,ADPSBQ
ENSG00000101098.12,RIMS4,chr20,-0.802268008,0.099974643,5.55112E-16,ADPSBQ
ENSG00000234335.1,RPS4XP11,chr10,0.608468067,0.074642707,9.9426E-16,ADPSBQ
ENSG00000260886.1,TAT-AS1,chr16,-1.19429774,0.138544993,1.55431E-15,ADPSBQ
ENSG00000169093.15,ASMTL,chrX,-0.138642307,0.017622457,1.77636E-15,ADPSBQ
ENSG00000278530.4,CHMP1B2P,chrX,-0.51789675,0.067969679,3.21965E-15,ADPSBQ
ENSG00000159212.12,CLIC6,chr21,-0.489601603,0.060841213,6.55032E-15,ADPSBQ
ENSG00000155966.13,AFF2,chrX,-0.558002193,0.077959839,8.32667E-15,ADPSBQ
ENSG00000176399.3,DMRTA1,chr9,-0.470925784,0.067230296,1.14353E-14,ADPSBQ
ENSG00000250538.5,,chr4,-1.314709376,0.172848265,1.29896E-14,ADPSBQ
ENSG00000169218.13,RSPO1,chr1,-1.327572815,0.181618379,2.05391E-14,ADPSBQ
ENSG00000124120.10,TTPAL,chr20,-0.208954506,0.026868117,2.95319E-14,ADPSBQ
ENSG00000082482.13,KCNK2,chr1,-0.677979587,0.090883416,3.41949E-14,ADPSBQ
ENSG00000198963.10,RORB,chr9,-0.64295379,0.09084367,3.9857E-14,ADPSBQ
ENSG00000169239.12,CA5B,chrX,0.238035819,0.031929719,6.65877E-14,ADPSBQ
ENSG00000249379.1,,chr6,-0.822087997,0.096138237,7.80487E-14,ADPSBQ
ENSG00000187676.7,B3GLCT,chr13,-0.264347455,0.037532405,1.41331E-13,ADPSBQ
ENSG00000253967.1,,chr8,-1.666114132,0.209412953,1.66867E-13,ADPSBQ
ENSG00000273203.1,,chr22,-0.361937258,0.014657064,1.92846E-13,ADPSBQ
ENSG00000102030.15,NAA10,chrX,0.090020229,0.012317015,4.07306E-13,ADPSBQ
ENSG00000167393.17,PPP2R3B,chrX,-0.204263376,0.028371407,4.49862E-13,ADPSBQ
ENSG00000004468.12,CD38,chr4,-0.55654415,0.079010403,5.99854E-13,ADPSBQ
ENSG00000134882.15,UBAC2,chr13,-0.109145851,0.015229621,6.09068E-13,ADPSBQ
ENSG00000015413.9,DPEP1,chr16,-0.998751879,0.152668579,7.62057E-13,ADPSBQ
ENSG00000169100.13,SLC25A6,chrX,-0.11155384,0.016035619,9.88098E-13,ADPSBQ
ENSG00000155508.13,CNOT8,chr5,-0.188495858,0.027116793,1.29419E-12,ADPSBQ
ENSG00000196839.12,ADA,chr20,-0.266766785,0.037404089,1.7516E-12,ADPSBQ
ENSG00000133816.13,MICAL2,chr11,-0.265716652,0.04248527,3.0479E-12,ADPSBQ
ENSG00000247324.2,,chr16,-0.556565179,0.069922125,3.11173E-12,ADPSBQ
ENSG00000186439.12,TRDN,chr6,1.072636371,0.133466351,4.00308E-12,ADPSBQ
ENSG00000018625.14,ATP1A2,chr1,-0.408075066,0.061743955,4.32898E-12,ADPSBQ
ENSG00000185149.5,NPY2R,chr4,-1.093988849,0.159227238,4.84279E-12,ADPSBQ
ENSG00000120907.17,ADRA1A,chr8,-0.677635011,0.100242438,4.90474E-12,ADPSBQ
ENSG00000233223.2,,chr17,-0.177525037,0.026659066,7.43583E-12,ADPSBQ
ENSG00000113231.13,PDE8B,chr5,-0.278922552,0.046200422,7.62279E-12,ADPSBQ
ENSG00000211448.11,DIO2,chr14,-0.494184545,0.075563754,8.59568E-12,ADPSBQ
ENSG00000100344.10,PNPLA3,chr22,-0.579934888,0.103282138,9.43801E-12,ADPSBQ
ENSG00000247516.6,MIR4458HG,chr5,-0.205888269,0.03104462,1.42769E-11,ADPSBQ
ENSG00000178605.13,GTPBP6,chrX,-0.109501515,0.01626048,1.53134E-11,ADPSBQ
ENSG00000128040.10,SPINK2,chr4,-1.108206498,0.179366567,1.91056E-11,ADPSBQ
ENSG00000148082.9,SHC3,chr9,-0.421973416,0.068106879,2.22448E-11,ADPSBQ
ENSG00000102054.17,RBBP7,chrX,0.071929768,0.011077701,2.29323E-11,ADPSBQ
ENSG00000106031.7,HOXA13,chr7,0.34331075,0.066592448,2.37334E-11,ADPSBQ
ENSG00000197976.11,AKAP17A,chrX,-0.089419938,0.013031077,5.54744E-11,ADPSBQ
ENSG00000115255.10,REEP6,chr19,0.326419807,0.055039594,7.18865E-11,ADPSBQ
ENSG00000152078.9,TMEM56,chr1,-0.228250488,0.03777987,8.28602E-11,ADPSBQ
ENSG00000224525.2,,chr1,0.896722679,0.151633388,8.31566E-11,ADPSBQ
ENSG00000124486.12,USP9X,chrX,0.075882606,0.011686248,9.22067E-11,ADPSBQ
ENSG00000234969.1,,chrX,0.393989314,0.061702354,9.50861E-11,ADPSBQ
ENSG00000236698.1,EIF1AXP1,chr1,0.495900016,0.073985516,9.63945E-11,ADPSBQ
ENSG00000104055.15,TGM5,chr15,-0.646570983,0.106461774,9.84031E-11,ADPSBQ
ENSG00000046651.14,OFD1,chrX,0.113868461,0.017884146,1.15391E-10,ADPSBQ
ENSG00000111058.7,ACSS3,chr12,0.159553544,0.025408203,1.31132E-10,ADPSBQ
ENSG00000143641.9,GALNT2,chr1,-0.107343586,0.017727583,1.36793E-10,ADPSBQ
ENSG00000101000.5,PROCR,chr20,-0.268161206,0.043911282,1.55778E-10,ADPSBQ
ENSG00000181938.13,GINS3,chr16,-0.185031273,0.029978321,1.82714E-10,ADPSBQ
ENSG00000112655.15,PTK7,chr6,0.252936414,0.043202257,1.85292E-10,ADPSBQ
ENSG00000240800.1,,chr10,0.878296486,0.156659899,1.9354E-10,ADPSBQ
ENSG00000103034.14,NDRG4,chr16,-0.532208202,0.086376254,2.05254E-10,ADPSBQ
ENSG00000188783.5,PRELP,chr1,-0.27266678,0.048426678,2.93093E-10,ADPSBQ
ENSG00000150433.9,TMEM218,chr11,0.105895409,0.019051071,3.22503E-10,ADPSBQ
ENSG00000131831.17,RAI2,chrX,-0.165478304,0.027211503,3.73392E-10,ADPSBQ
ENSG00000163071.10,SPATA18,chr4,-0.324965545,0.058020351,4.94575E-10,ADPSBQ
ENSG00000109738.10,GLRB,chr4,-0.33840799,0.057882626,4.95879E-10,ADPSBQ
ENSG00000147100.10,SLC16A2,chrX,0.147326973,0.025601163,5.21037E-10,ADPSBQ
ENSG00000235687.8,LINC00993,chr10,0.781028085,0.143970649,6.07294E-10,ADPSBQ
ENSG00000064205.10,WISP2,chr20,-0.276409349,0.044962304,6.4883E-10,ADPSBQ
ENSG00000186453.12,FAM228A,chr2,-0.354448371,0.059539802,6.55512E-10,ADPSBQ
ENSG00000116035.2,VAX2,chr2,0.388392195,0.064827314,6.65802E-10,ADPSBQ
ENSG00000134339.8,SAA2,chr11,1.009187198,0.174271411,7.79978E-10,ADPSBQ
ENSG00000132846.5,ZBED3,chr5,-0.200894449,0.033491075,8.9614E-10,ADPSBQ
ENSG00000172460.15,PRSS30P,chr16,0.532950705,0.085781173,9.14446E-10,ADPSBQ
ENSG00000155265.10,GOLGA7B,chr10,-0.439689181,0.075692947,9.31085E-10,ADPSBQ
ENSG00000234380.1,LINC01426,chr21,-0.380070209,0.06558259,1.17105E-09,ADPSBQ
ENSG00000274312.1,,chr15,-0.626130742,0.115566536,1.22691E-09,ADPSBQ
ENSG00000226948.1,RPS4XP2,chr20,0.554959691,0.084740532,1.40221E-09,ADPSBQ
ENSG00000173432.10,SAA1,chr11,0.851909879,0.149392189,1.42597E-09,ADPSBQ
ENSG00000144681.10,STAC,chr3,0.299080938,0.050873083,1.43589E-09,ADPSBQ
ENSG00000236816.2,ANKRD20A7P,chr9,-1.069615761,0.188072759,1.57482E-09,ADPSBQ
ENSG00000102445.18,RUBCNL,chr13,-0.311784887,0.05623676,1.77395E-09,ADPSBQ
ENSG00000171819.4,ANGPTL7,chr1,-0.788414028,0.13584799,2.00851E-09,ADPSBQ
ENSG00000122694.15,GLIPR2,chr9,-0.181770646,0.032941205,2.15766E-09,ADPSBQ
ENSG00000102225.15,CDK16,chrX,0.078769425,0.013484994,2.28336E-09,ADPSBQ
ENSG00000261600.1,,chr2,0.789514678,0.131928343,2.55222E-09,ADPSBQ
ENSG00000186191.7,BPIFB4,chr20,1.178170616,0.225968498,3.54917E-09,ADPSBQ
ENSG00000237438.7,CECR7,chr22,-0.416467659,0.066191008,4.18556E-09,ADPSBQ
ENSG00000181035.13,SLC25A42,chr19,0.111051204,0.021028097,4.19417E-09,ADPSBQ
ENSG00000088298.12,EDEM2,chr20,-0.10792498,0.019764466,6.042E-09,ADPSBQ
ENSG00000170271.10,FAXDC2,chr5,-0.180876902,0.032973606,7.22635E-09,ADPSBQ
ENSG00000106819.11,ASPN,chr9,-0.308543176,0.054549291,7.37991E-09,ADPSBQ
ENSG00000170165.5,,chr9,-1.017655527,0.185158313,8.05478E-09,ADPSBQ
ENSG00000104228.12,TRIM35,chr8,-0.116556694,0.022258715,9.67263E-09,ADPSBQ
ENSG00000197320.5,,chr7,-1.108329186,0.200194303,9.92291E-09,ADPSBQ
ENSG00000101230.5,ISM1,chr20,0.305765265,0.056464193,1.02222E-08,ADPSBQ
ENSG00000078295.16,ADCY2,chr5,-0.348491259,0.06500107,1.06418E-08,ADPSBQ
ENSG00000175664.9,TEX26,chr13,-0.585584087,0.115439451,1.19504E-08,ADPSBQ
ENSG00000250802.6,ZBED3-AS1,chr5,-0.274724038,0.050152453,1.20967E-08,ADPSBQ
ENSG00000234918.1,,chr10,0.73586419,0.145886747,1.21599E-08,ADPSBQ
ENSG00000276591.1,GXYLT1P5,chr9,-1.053227173,0.204355041,1.26376E-08,ADPSBQ
ENSG00000224945.1,,chr9,-0.293155832,0.05695319,1.27415E-08,ADPSBQ
ENSG00000273055.1,,chr7,0.27265349,0.055613665,1.56538E-08,ADPSBQ
ENSG00000198914.3,POU3F3,chr2,-0.499263485,0.09280514,1.57653E-08,ADPSBQ
ENSG00000271239.1,,chr17,-0.442518297,0.086803894,1.60813E-08,ADPSBQ
ENSG00000160181.8,TFF2,chr21,-1.119896732,0.230126021,1.90174E-08,ADPSBQ
ENSG00000245685.6,FRG1-DT,chr4,-0.683021875,0.101751574,1.95817E-08,ADPSBQ
ENSG00000260822.1,,chrX,-0.167684526,0.032424809,2.48666E-08,ADPSBQ
ENSG00000155962.12,CLIC2,chrX,0.126934323,0.023207821,2.75846E-08,ADPSBQ
ENSG00000230542.6,LINC00102,chrX,-0.552879845,0.104301472,3.33965E-08,ADPSBQ
ENSG00000167711.13,SERPINF2,chr17,-0.284732264,0.051239406,3.45307E-08,ADPSBQ
ENSG00000123453.17,SARDH,chr9,0.310671023,0.061419258,3.61953E-08,ADPSBQ
ENSG00000163521.15,GLB1L,chr2,-0.191205023,0.03598402,3.89485E-08,ADPSBQ
ENSG00000102452.15,NALCN,chr13,-0.401688174,0.075547349,3.90161E-08,ADPSBQ
ENSG00000277987.1,LINC02351,chr15,-0.594111568,0.121432961,3.98551E-08,ADPSBQ
ENSG00000182912.6,TSPEAR-AS2,chr21,0.640357924,0.117873504,4.97218E-08,ADPSBQ
ENSG00000113916.17,BCL6,chr3,-0.139158694,0.028673698,5.0547E-08,ADPSBQ
ENSG00000100181.22,TPTEP1,chr22,0.378893128,0.073129568,5.21687E-08,ADPSBQ
ENSG00000124440.15,HIF3A,chr19,0.152632978,0.030840233,5.42502E-08,ADPSBQ
ENSG00000205664.10,,chrX,0.208146119,0.039146312,5.60935E-08,ADPSBQ
ENSG00000125730.16,C3,chr19,0.252390087,0.048830518,6.52E-08,ADPSBQ
ENSG00000269707.1,,chr2,-0.544797305,0.112306122,6.75218E-08,ADPSBQ
ENSG00000148513.17,ANKRD30A,chr10,0.707248744,0.143808132,6.7645E-08,ADPSBQ
ENSG00000112378.11,PERP,chr6,-0.248866859,0.048417147,7.09431E-08,ADPSBQ
ENSG00000235890.2,TSPEAR-AS1,chr21,0.635965926,0.117539052,7.19668E-08,ADPSBQ
ENSG00000141447.17,OSBPL1A,chr18,0.097376045,0.02036629,7.44957E-08,ADPSBQ
ENSG00000013619.13,MAMLD1,chrX,-0.185781585,0.036256576,8.31346E-08,ADPSBQ
ENSG00000244073.1,RPS4XP6,chr5,0.289510776,0.053167429,8.51605E-08,ADPSBQ
ENSG00000146938.14,NLGN4X,chrX,0.388545302,0.074661244,9.03324E-08,ADPSBQ
ENSG00000230635.2,CYP4F60P,chr9,-0.887808655,0.178727169,9.79655E-08,ADPSBQ
ENSG00000158104.11,HPD,chr12,0.323675759,0.066469978,9.93744E-08,ADPSBQ
ENSG00000229268.1,PES1P2,chr9,-0.719607865,0.150466462,1.00223E-07,ADPSBQ
ENSG00000228709.1,LINC02575,chr21,0.654907756,0.107906245,1.18275E-07,ADPSBQ
ENSG00000153879.8,CEBPG,chr19,-0.079006769,0.017195699,1.20928E-07,ADPSBQ
ENSG00000091136.13,LAMB1,chr7,0.199469871,0.041466053,1.35027E-07,ADPSBQ
ENSG00000249790.2,,chr12,-0.515115908,0.106280461,1.35897E-07,ADPSBQ
ENSG00000167323.11,STIM1,chr11,-0.071768358,0.014816927,1.39678E-07,ADPSBQ
ENSG00000162368.13,CMPK1,chr1,-0.070744935,0.014382295,1.46791E-07,ADPSBQ
ENSG00000106078.17,COBL,chr7,0.334152595,0.067353267,1.55813E-07,ADPSBQ
ENSG00000186654.20,PRR5,chr22,-0.156095236,0.031804184,1.59934E-07,ADPSBQ
ENSG00000135447.16,PPP1R1A,chr12,-0.238019792,0.047212972,1.61958E-07,ADPSBQ
ENSG00000168528.11,SERINC2,chr1,-0.272054269,0.056242644,1.64079E-07,ADPSBQ
ENSG00000140563.14,MCTP2,chr15,0.191856546,0.040479831,1.69436E-07,ADPSBQ
ENSG00000277893.1,SRD5A2,chr2,-1.035831306,0.216118577,1.7107E-07,ADPSBQ
ENSG00000135454.13,B4GALNT1,chr12,0.173335322,0.03466967,2.04418E-07,ADPSBQ
ENSG00000135336.14,ORC3,chr6,0.061472558,0.012755427,2.18497E-07,ADPSBQ
ENSG00000122863.5,CHST3,chr10,-0.13891337,0.029571094,2.34267E-07,ADPSBQ
ENSG00000090006.17,LTBP4,chr19,-0.164346744,0.032770465,2.57588E-07,ADPSBQ
ENSG00000196781.14,TLE1,chr9,0.142286378,0.031833404,2.72328E-07,ADPSBQ
ENSG00000165698.15,SPACA9,chr9,-0.090186943,0.018276497,2.73259E-07,ADPSBQ
ENSG00000223401.2,,chr3,-0.20558482,0.044416256,3.04752E-07,ADPSBQ
ENSG00000101901.11,ALG13,chrX,0.059274786,0.011673362,3.1005E-07,ADPSBQ
ENSG00000144908.13,ALDH1L1,chr3,0.227950192,0.04825716,3.10213E-07,ADPSBQ
ENSG00000283633.1,,chr22,0.366670461,0.076116517,3.40227E-07,ADPSBQ
ENSG00000198650.10,TAT,chr16,-0.823649587,0.202827541,3.52764E-07,ADPSBQ
ENSG00000151552.11,QDPR,chr4,0.110473182,0.024319864,3.64803E-07,ADPSBQ
ENSG00000204179.10,PTPN20,chr10,-0.412910284,0.084082971,3.87211E-07,ADPSBQ
ENSG00000185551.14,NR2F2,chr15,-0.116026493,0.024172658,3.99242E-07,ADPSBQ
ENSG00000196878.14,LAMB3,chr1,-0.284252509,0.061198207,4.01685E-07,ADPSBQ
ENSG00000204381.11,LAYN,chr11,0.153366446,0.032003411,4.11782E-07,ADPSBQ
ENSG00000130005.12,GAMT,chr19,-0.146550478,0.03072917,4.20211E-07,ADPSBQ
ENSG00000071859.14,FAM50A,chrX,-0.113389143,0.019917402,4.20821E-07,ADPSBQ
ENSG00000150281.6,CTF1,chr16,-0.131887802,0.027290166,4.24605E-07,ADPSBQ
ENSG00000173221.13,GLRX,chr5,-0.171915556,0.035298836,4.37702E-07,ADPSBQ
ENSG00000196459.13,TRAPPC2,chrX,0.091266057,0.018483557,4.57095E-07,ADPSBQ
ENSG00000169710.8,FASN,chr17,-0.233446962,0.051515043,4.57355E-07,ADPSBQ
ENSG00000213639.9,PPP1CB,chr2,-0.09247623,0.020458635,4.75117E-07,ADPSBQ
ENSG00000152580.8,IGSF10,chr3,0.31666337,0.066020422,4.9978E-07,ADPSBQ
ENSG00000152402.10,GUCY1A2,chr11,-0.20516004,0.043163049,5.30432E-07,ADPSBQ
ENSG00000180574.3,EIF2S3B,chr12,0.649642171,0.11336455,5.39792E-07,ADPSBQ
ENSG00000091129.19,NRCAM,chr7,-0.395148775,0.08903206,5.41568E-07,ADPSBQ
ENSG00000168405.15,CMAHP,chr6,-0.162735009,0.034677545,5.45394E-07,ADPSBQ
ENSG00000198796.6,ALPK2,chr18,-0.457964777,0.098642514,5.46413E-07,ADPSBQ
ENSG00000145604.15,SKP2,chr5,0.103393521,0.02416976,5.53447E-07,ADPSBQ
ENSG00000204677.10,FAM153C,chr5,-0.479934303,0.102127384,6.0165E-07,ADPSBQ
ENSG00000130876.11,SLC7A10,chr19,0.418281048,0.104813651,6.41993E-07,ADPSBQ
ENSG00000100567.12,PSMA3,chr14,0.053244698,0.011236871,6.66172E-07,ADPSBQ
ENSG00000142303.13,ADAMTS10,chr19,-0.12576134,0.026670801,6.89776E-07,ADPSBQ
ENSG00000163291.14,PAQR3,chr4,-0.119006432,0.025259505,7.18574E-07,ADPSBQ
ENSG00000185565.11,LSAMP,chr3,0.349570254,0.075520644,7.28487E-07,ADPSBQ
ENSG00000177119.15,ANO6,chr12,0.082842928,0.018563876,7.29451E-07,ADPSBQ
ENSG00000180190.11,TDRP,chr8,-0.120465879,0.024646327,7.58861E-07,ADPSBQ
ENSG00000130997.16,POLN,chr4,0.184924791,0.042285273,8.04458E-07,ADPSBQ
ENSG00000114248.9,LRRC31,chr3,-0.91912282,0.202029736,8.20656E-07,ADPSBQ
ENSG00000077522.12,ACTN2,chr1,0.268463295,0.059035595,8.39699E-07,ADPSBQ
ENSG00000091140.13,DLD,chr7,0.063345307,0.013706272,8.46695E-07,ADPSBQ
ENSG00000182162.10,P2RY8,chrX,-0.373847306,0.076056835,8.54568E-07,ADPSBQ
ENSG00000162433.14,AK4,chr1,0.148768831,0.033375139,9.40995E-07,ADPSBQ
ENSG00000174669.11,SLC29A2,chr11,-0.217394718,0.047461773,9.66221E-07,ADPSBQ
ENSG00000131828.13,PDHA1,chrX,0.073538805,0.01631628,9.66573E-07,ADPSBQ
ENSG00000173960.13,UBXN2A,chr2,0.061745672,0.013702555,1.013E-06,ADPSBQ
ENSG00000006071.12,ABCC8,chr11,0.397815874,0.088859293,1.0645E-06,ADPSBQ
ENSG00000106992.17,AK1,chr9,0.080675648,0.017679716,1.07323E-06,ADPSBQ
ENSG00000188522.14,FAM83G,chr17,-0.220555552,0.05083774,1.1376E-06,ADPSBQ
ENSG00000170549.3,IRX1,chr5,-0.259490474,0.058266505,1.14723E-06,ADPSBQ
ENSG00000186141.8,POLR3C,chr1,0.05386174,0.011624631,1.1568E-06,ADPSBQ
ENSG00000101280.7,ANGPT4,chr20,-0.288005964,0.063166022,1.15915E-06,ADPSBQ
ENSG00000272913.1,,chr2,-0.148856631,0.031879379,1.16278E-06,ADPSBQ
ENSG00000198353.7,HOXC4,chr12,-0.14412326,0.032091789,1.1734E-06,ADPSBQ
ENSG00000146674.14,IGFBP3,chr7,0.191875776,0.04342702,1.20187E-06,ADPSBQ
ENSG00000125618.16,PAX8,chr2,-0.504663864,0.108394403,1.37917E-06,ADPSBQ
ENSG00000159216.18,RUNX1,chr21,-0.135363343,0.029835133,1.46595E-06,ADPSBQ
ENSG00000153446.15,C16orf89,chr16,0.401034046,0.088365124,1.4753E-06,ADPSBQ
ENSG00000008311.14,AASS,chr7,0.104387653,0.0236382,1.48968E-06,ADPSBQ
ENSG00000196433.12,ASMT,chrX,0.39232332,0.083260632,1.5134E-06,ADPSBQ
ENSG00000187068.2,C3orf70,chr3,-0.154016732,0.035836067,1.53055E-06,ADPSBQ
ENSG00000169515.5,CCDC8,chr19,0.152821997,0.033694099,1.53769E-06,ADPSBQ
ENSG00000212766.9,EWSAT1,chr15,-0.420819314,0.108425581,1.56806E-06,ADPSBQ
ENSG00000183914.14,DNAH2,chr17,0.272554512,0.061830762,1.57033E-06,ADPSBQ
ENSG00000107341.4,UBE2R2,chr9,-0.042101126,0.009539231,1.57406E-06,ADPSBQ
ENSG00000156265.15,MAP3K7CL,chr21,-0.160795613,0.037650682,1.64913E-06,ADPSBQ
ENSG00000187288.10,CIDEC,chr3,-0.164531016,0.03746232,1.67399E-06,ADPSBQ
ENSG00000270959.1,LPP-AS2,chr3,-0.114203295,0.025671888,1.72586E-06,ADPSBQ
ENSG00000231764.8,DLX6-AS1,chr7,0.461809933,0.109031271,1.76924E-06,ADPSBQ
ENSG00000116584.17,ARHGEF2,chr1,-0.085491289,0.019438129,1.81507E-06,ADPSBQ
ENSG00000228794.8,LINC01128,chr1,-0.137231634,0.033192966,1.85926E-06,ADPSBQ
ENSG00000117594.9,HSD11B1,chr1,-0.297020684,0.064056805,1.92125E-06,ADPSBQ
ENSG00000182378.13,PLCXD1,chrX,-0.240797026,0.051452181,2.13179E-06,ADPSBQ
